freq,SPL,phase
10.0,191.52282,-144.97734
20.0,166.07657,-48.13193
30.0,159.15237,-7.34478
40.0,145.44029,24.29553
50.0,138.36378,85.01303
60.0,124.52236,-8.02612
70.0,134.22458,-77.64298
80.0,139.53328,111.56643
90.0,141.91911,298.51835
100.0,136.58863,433.10026
110.0,138.6828,456.47171
120.0,136.16983,321.69807
130.0,138.58107,368.0582
140.0,138.23075,436.53204
150.0,129.65855,612.40906
160.0,134.29678,528.03118
170.0,135.82211,484.51913
180.0,130.96996,478.83855
190.0,127.01315,682.98248
200.0,117.22743,697.12692
210.0,134.94348,839.8391
220.0,129.78605,848.51039
230.0,132.33626,909.79734
240.0,136.66715,917.40501
250.0,136.62591,803.15677
260.0,133.34205,889.88995
270.0,135.81441,940.27113
280.0,134.17789,1123.03936
290.0,137.20914,1047.72991
300.0,110.32042,1154.84833
310.0,125.92614,1290.6445
320.0,124.64395,1467.04213
330.0,122.26416,1334.83181
340.0,118.92271,1454.41164
350.0,120.64777,1298.66781
360.0,127.74688,1312.41913
370.0,129.59419,1198.24702
380.0,126.15393,1313.11439
390.0,129.61928,1251.89493
400.0,130.7551,1267.76575
410.0,130.50956,1283.8715
420.0,126.35974,1268.07166
430.0,133.34744,1296.00684
440.0,132.57318,1336.17349
450.0,131.6001,1502.64851
460.0,138.00722,1459.45097
470.0,132.03218,1514.58417
480.0,118.49881,1654.15395
490.0,132.08664,1562.63796
500.0,135.87135,1545.85014
510.0,122.04368,1591.14741
520.0,133.93823,1582.16523
530.0,129.70935,1601.14466
540.0,117.25787,1698.78114
550.0,126.66515,1630.20297
560.0,133.28474,1583.12113
570.0,135.61359,1624.46781
580.0,132.16181,1634.83813
590.0,134.86826,1596.14774
600.0,131.92429,1608.65975
610.0,135.22335,1591.21779
620.0,130.52114,1629.96221
630.0,135.05234,1600.28057
640.0,133.90108,1604.71918
650.0,133.56764,1609.14191
660.0,134.39731,1605.64642
670.0,133.03888,1599.93794
680.0,133.93055,1616.23521
690.0,134.47595,1613.65153
700.0,134.19822,1607.964
710.0,133.18728,1616.27649
720.0,134.90005,1607.54834
730.0,134.00298,1606.43138
740.0,133.26354,1601.6352
750.0,132.90405,1602.63807
760.0,133.50277,1604.43549
770.0,132.49481,1604.43993
780.0,132.42084,1604.82425
790.0,132.4045,1601.58816
800.0,131.47039,1611.77904
810.0,132.0992,1611.36252
820.0,132.56715,1613.0092
830.0,132.22369,1610.03403
840.0,131.76118,1614.24872
850.0,132.45937,1615.85972
860.0,131.91377,1615.11993
870.0,132.2747,1612.44188
880.0,132.29786,1612.55859
890.0,132.10216,1614.16649
900.0,132.24962,1613.58671
910.0,132.37684,1612.90929
920.0,131.9267,1611.16073
930.0,132.14303,1614.57055
940.0,132.24748,1613.42036
950.0,131.78494,1611.85513
960.0,131.68548,1612.54535
970.0,131.83033,1613.42279
980.0,131.69524,1614.82684
990.0,131.4444,1614.2783
1000.0,131.26829,1614.70901
1010.0,131.02346,1615.35324
1020.0,131.24874,1616.37318
1030.0,131.23768,1615.65113
1040.0,130.83679,1614.76104
1050.0,130.93164,1617.31368
1060.0,130.91827,1617.48716
1070.0,130.42993,1618.06026
1080.0,130.35783,1618.18178
1090.0,130.19684,1619.1529
1100.0,130.08484,1621.17217
1110.0,130.06837,1621.62098
1120.0,130.08936,1623.8373
1130.0,130.02589,1625.59962
1140.0,129.80104,1625.45674
1150.0,130.08162,1625.69201
1160.0,129.9577,1628.07275
1170.0,130.12974,1629.61579
1180.0,130.1521,1628.40917
1190.0,130.32717,1629.49271
1200.0,130.25853,1630.13845
1210.0,130.00215,1628.90602
1220.0,129.91147,1628.92378
1230.0,129.62349,1629.41769
1240.0,129.49173,1630.19597
1250.0,128.965,1633.13599
1260.0,128.74653,1637.54382
1270.0,128.73179,1643.30409
1280.0,129.27739,1650.87354
1290.0,130.11033,1652.5182
1300.0,130.92194,1653.25047
1310.0,131.98167,1652.75944
1320.0,132.58029,1649.66771
1330.0,132.98521,1645.62877
1340.0,133.43607,1640.64405
1350.0,133.3252,1636.35303
1360.0,133.19048,1632.24786
1370.0,132.78449,1628.66729
1380.0,132.3787,1626.97385
1390.0,131.79141,1626.86273
1400.0,131.34102,1626.99728
1410.0,131.03177,1628.17733
1420.0,130.91669,1630.29339
1430.0,130.73577,1630.87463
1440.0,130.79093,1630.65862
1450.0,130.68855,1631.06475
1460.0,130.6799,1631.69007
1470.0,130.60633,1632.40926
1480.0,130.44621,1633.82038
1490.0,130.5595,1634.93705
1500.0,130.67076,1635.97014
1510.0,130.88009,1635.36294
1520.0,131.16146,1634.63035
1530.0,131.10116,1633.56623
1540.0,131.02534,1630.69326
1550.0,130.95024,1630.25824
1560.0,130.82676,1628.05093
1570.0,130.65702,1622.33682
1580.0,129.05223,1630.5616
1590.0,129.52705,1631.02531
1600.0,129.44203,1630.79546
1610.0,129.32589,1631.99977
1620.0,129.16131,1632.72464
1630.0,129.08521,1633.05397
1640.0,129.01751,1633.48647
1650.0,128.78413,1634.39539
1660.0,128.77711,1635.26824
1670.0,128.85567,1635.67417
1680.0,128.71747,1637.01864
1690.0,128.78988,1637.13682
1700.0,128.75675,1638.66778
1710.0,128.7499,1638.90544
1720.0,128.77078,1639.33889
1730.0,128.82865,1639.98133
1740.0,128.90607,1640.51282
1750.0,128.9266,1640.68323
1760.0,129.14938,1640.41495
1770.0,129.32538,1639.94207
1780.0,129.53146,1638.91865
1790.0,129.77125,1637.07058
1800.0,129.99364,1634.07813
1810.0,130.02869,1630.18298
1820.0,130.08387,1624.99457
1830.0,129.80409,1618.54135
1840.0,129.23782,1609.87944
1850.0,128.00103,1600.06464
1860.0,125.11366,1590.59753
1870.0,120.3328,1598.46499
1880.0,118.71194,1635.55095
1890.0,121.07916,1649.69714
1900.0,122.45782,1653.42648
1910.0,123.21507,1653.80435
1920.0,123.53253,1653.58068
1930.0,123.79141,1654.19761
1940.0,124.0192,1655.17559
1950.0,124.05253,1655.39018
1960.0,124.10494,1655.85562
1970.0,124.07139,1656.23887
1980.0,123.94559,1657.86421
1990.0,123.89225,1659.03007
2000.0,123.82033,1661.48622
2010.0,124.00912,1663.40077
2020.0,124.26351,1663.52841
2030.0,124.29099,1663.17414
2040.0,124.31081,1663.2032
2050.0,124.2745,1662.96859
2060.0,124.12843,1663.74636
2070.0,124.03914,1664.13093
2080.0,123.90486,1664.64642
2090.0,123.83523,1665.07897
2100.0,123.69363,1666.11146
2110.0,123.5378,1666.78863
2120.0,123.38108,1667.43462
2130.0,123.29423,1668.63659
2140.0,123.19418,1669.44322
2150.0,123.02639,1670.58721
2160.0,122.91441,1671.56982
2170.0,122.83752,1673.28676
2180.0,122.71475,1674.18616
2190.0,122.57095,1675.5523
2200.0,122.39395,1676.73688
2210.0,122.24396,1678.34048
2220.0,122.17032,1679.65075
2230.0,122.0549,1681.62073
2240.0,121.98764,1683.10695
2250.0,121.92523,1684.69228
2260.0,121.80826,1686.56169
2270.0,121.84471,1687.99342
2280.0,121.68251,1689.7393
2290.0,121.65445,1690.81941
2300.0,121.66502,1693.2748
2310.0,121.53564,1695.043
2320.0,121.55839,1696.52452
2330.0,121.4799,1697.80587
2340.0,121.39203,1699.74923
2350.0,121.46581,1701.5784
2360.0,121.33648,1703.56721
2370.0,121.28009,1705.02569
2380.0,121.38377,1706.93193
2390.0,121.33087,1708.87215
2400.0,121.32608,1710.3811
2410.0,121.38395,1712.80281
2420.0,121.3931,1714.84276
2430.0,121.41496,1715.58908
2440.0,121.48783,1717.73379
2450.0,121.49279,1719.68131
2460.0,121.61717,1721.78353
2470.0,121.62046,1723.05044
2480.0,121.66569,1725.30961
2490.0,121.69936,1726.23141
2500.0,121.80446,1728.72772
2510.0,121.86977,1730.13004
2520.0,122.04275,1732.2256
2530.0,122.04883,1733.16505
2540.0,122.05939,1735.15219
2550.0,122.15543,1737.6714
2560.0,122.33756,1739.80226
2570.0,122.49789,1741.31848
2580.0,122.68537,1742.79292
2590.0,122.79664,1744.00446
2600.0,123.00646,1745.51604
2610.0,123.06758,1746.41422
2620.0,123.20745,1747.94455
2630.0,123.33886,1749.5777
2640.0,123.53141,1750.71416
2650.0,123.63825,1751.95782
2660.0,123.80444,1753.00464
2670.0,123.96165,1754.33901
2680.0,124.14582,1755.78106
2690.0,124.25797,1756.40452
2700.0,124.42488,1757.91731
2710.0,124.59751,1758.9369
2720.0,124.7197,1759.8814
2730.0,124.91387,1761.18308
2740.0,125.02106,1762.18514
2750.0,125.19232,1762.67091
2760.0,125.31745,1763.7583
2770.0,125.51042,1764.56163
2780.0,125.66767,1765.46604
2790.0,125.79598,1766.50723
2800.0,125.89771,1767.07289
2810.0,126.09291,1768.10233
2820.0,126.1968,1768.76207
2830.0,126.36158,1769.77562
2840.0,126.54619,1770.36251
2850.0,126.67233,1771.14307
